job_id,time_limit,submit_time,priority,job_state,job_time_left,job_maximum_allocated_nodes,job_minimum_requested_cpus,job_minimum_requested_memory,job_queue_time,job_requested_allocated_cpus,job_start_time,job_allocated_minimum_requested_nodes,job_end_time,job_execution_time,job_maximum_allocated_cpus
1PmAwvdM_MidkZj3NzFJesXOemUv8FAW56q5KasiPIE=,2:00:00,2023-02-01T17:13:35,0.00000005355105,1.0,85620.0,80.0,256.0,240000.0,1.0,20480.0,1675271616.0,80.0,1675278816.0,5773.0,20480.0
5RQf3RiFW7F935EONZrgiRPC0ulx0AcnpBP75t9x-sw=,1:00:00,2023-02-01T16:51:53,0.00000005355105,1.0,169620.0,80.0,256.0,240000.0,3.0,20480.0,1675270316.0,80.0,1675273916.0,46380.0,20480.0
6d-QtuA6Xy7y9gRpxrZAKY7Xl4Nif4Z2dhBPmQz_UAk=,1:00:00,2023-02-03T09:59:43,0.00000005215406,1.0,215760.0,80.0,256.0,240000.0,1.0,20480.0,1675418384.0,80.0,1675421984.0,240.0,20480.0
7WPwLqxTfvJg4vZKsUhUQDP9zpmPtnLzZd2cc_J_tIY=,18:00:00,2023-01-31T09:04:29,0.00000003958121,1.0,70920.0,128.0,128.0,240000.0,1.0,32768.0,1675155870.0,128.0,1675220670.0,63618.0,32768.0
7rGTOwQ-2GrBEdY4bZulEoQ5tAJj1hRaGNDF46Mbb20=,18:00:00,2023-01-29T10:24:30,0.00000004027970,1.0,17280.0,128.0,128.0,240000.0,6.0,32768.0,1674987876.0,128.0,1675052676.0,64512.0,32768.0
AEySjBDjS0miV_r4qujuVlKMTUVgynxJbr5yZojnHhk=,18:00:00,2023-01-25T14:52:12,0.00000004121102,1.0,47580.0,128.0,128.0,240000.0,0.0,32768.0,1674658332.0,128.0,1674723132.0,64007.0,32768.0
Badpe0oQnhTEpC1ttKzqaIYeZUxLRdihWmDzjy-Ercg=,1:00:00,2023-02-01T13:48:27,0.00000005704351,1.0,121140.0,80.0,256.0,240000.0,1.0,20480.0,1675259308.0,80.0,1675262908.0,94860.0,20480.0
CrnbJvokiUSWh42t3OcMSIBlBU28VhL6h5hl4KBGvCE=,18:00:00,2023-02-01T08:23:35,0.00000003888272,1.0,49620.0,128.0,128.0,240000.0,0.0,32768.0,1675239815.0,128.0,1675304615.0,63973.0,32768.0
CrrjmhKlxQb5VZ_LCGfssCr-xiDrucYA0d1hv5R6cLA=,1:00:00,2023-02-01T11:35:32,0.00000005960464,1.0,182580.0,80.0,256.0,240000.0,0.0,20480.0,1675251332.0,80.0,1675254932.0,33420.0,20480.0
DQxScPyq5N4rXJZWueqjPdD_X8ehiTdiTEtnSpTFXLU=,18:00:00,2023-01-24T18:56:26,0.00000004447065,1.0,50520.0,128.0,128.0,240000.0,0.0,32768.0,1674586586.0,128.0,1674651386.0,63958.0,32768.0
